ANIO,OPERADOR_ID,DIAMETRO_PULG,EDAD_ANIOS,PRESION_MAX_PSI,PRESION_INCIDENTE_PSI,RECUBRIMIENTO,CLASE_UBICACION,COSTA_AFUERA,CAUSA,IGNICION,COSTO_USD,GAS_LIBERADO_MPCS,IND_CORROSION_GALVANICA
2011,2364,20.0,63.0,200.0,191.0,ALQUITRAN,3,0,DANO POR EXCAVACION,0,78940.0,11917.0,0
2011,19610,30.0,51.0,1008.0,636.0,ALQUITRAN,1,0,CORROSION,0,383076.0,1.0,1
2011,19570,36.0,47.0,800.0,783.0,ASFALTO,1,0,CORROSION,1,9091604.0,61700.0,1
2011,19160,36.0,48.0,790.0,761.0,ALQUITRAN,1,0,FUERZA NATURAL,1,2099025.0,79000.0,0
2011,31618,20.0,49.0,612.0,847.0,ALQUITRAN,1,0,FALLA DE EQUIPO,0,213664.0,21566.0,0
2011,31371,10.0,54.0,860.0,533.0,ALQUITRAN,3,0,CORROSION,0,172573.0,2.85,1
2011,19160,20.0,34.0,1373.0,771.0,OTRO,1,1,CORROSION,0,446460.0,1.0,0
2011,2616,8.0,46.0,135.0,130.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,38575.0,15581.0,0
2012,2620,30.0,47.0,1008.0,909.0,ALQUITRAN,1,0,FUERZA NATURAL,1,1692789.0,206923.0,0
2012,11032,16.0,20.0,300.0,180.0,OTRO,3,0,CORROSION,0,277176.0,16.0,0
2012,405,22.0,63.0,850.0,784.0,ALQUITRAN,2,0,FALLA DE MATERIAL O SOLDADURA,0,428771.0,800.0,0
2012,18516,12.75,54.0,1100.0,770.0,OTRO,1,1,CORROSION,0,391619.0,1.0,0
2012,19160,20.0,35.0,1373.0,704.0,OTRO,1,1,CORROSION,0,335190.0,935.0,0
2012,19160,20.0,35.0,1373.0,741.0,OTRO,1,1,CORROSION,0,348912.0,368.0,0
2012,405,22.0,56.0,858.0,834.0,CINTA FRIA,1,0,FALLA DE MATERIAL O SOLDADURA,0,891395.0,500.0,0
2012,5304,30.0,46.0,976.0,965.0,OTRO,1,0,CORROSION,0,550122.0,2250.0,1
2012,19160,24.0,37.0,1250.0,914.0,ALQUITRAN,1,1,FALLA DE MATERIAL O SOLDADURA,0,1376507.0,413.0,0
2012,405,12.75,42.0,1300.0,762.0,OTRO,1,1,CORROSION,0,280366.0,5000.0,0
2012,19570,36.0,53.0,350.0,273.0,ASFALTO,3,0,OTRA FUERZA EXTERNA,0,351907.0,0.0,0
2012,31978,12.75,60.0,500.0,430.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,120839.0,1020.0,0
2012,31618,20.0,35.0,1100.0,1028.0,OTRO,1,0,DANO POR EXCAVACION,0,60993.0,5000.0,0
2012,19270,16.0,51.0,1288.0,932.0,OTRO,1,0,CORROSION,1,1290222.0,21000.0,0
2012,31613,12.75,41.0,1039.0,792.0,CINTA FRIA,1,0,DANO POR EXCAVACION,0,31520.0,1185.0,0
2012,13750,24.0,55.0,800.0,763.0,ALQUITRAN,1,0,DANO POR EXCAVACION,1,508305.0,46285.0,0
2011,10035,10.75,47.0,1100.0,631.0,CINTA FRIA,1,0,FALLA DE MATERIAL O SOLDADURA,0,184737.0,58433.0,0
2012,19235,20.0,37.0,1440.0,885.0,OTRO,1,1,CORROSION,0,396900.0,400.0,0
2012,32296,12.0,44.0,1300.0,950.0,OTRO,1,1,CORROSION,0,205741.0,1100.0,0
2012,30750,16.0,16.0,960.0,640.0,OTRO,1,0,DANO POR EXCAVACION,1,730281.0,6562.0,0
2012,32296,16.0,55.0,1002.0,1136.0,OTRO,1,0,CORROSION,1,75133.0,26928.0,0
2012,840,6.0,20.0,1200.0,917.0,OTRO,1,0,FALLA DE EQUIPO,0,1298448.0,585457.0,0
2012,13120,26.0,55.0,720.0,694.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,1,98760.0,34455.0,0
2012,19270,6.625,60.0,1050.0,800.0,OTRO,1,0,OTRA FUERZA EXTERNA,0,32291.0,994.0,0
2012,32296,12.0,44.0,1300.0,950.0,OTRO,1,1,CORROSION,0,208809.0,100.0,0
2012,19160,2.0,3.0,936.0,195.0,OTRO,1,0,FUERZA NATURAL,0,222260.0,6791.0,0
2012,9011,6.625,40.0,1187.0,800.0,ALQUITRAN,2,0,DANO POR EXCAVACION,0,34162.0,7179.0,0
2012,19160,12.75,32.0,999.0,800.0,OTRO,1,1,CORROSION,0,139609.0,100.0,0
2012,32296,12.0,44.0,1300.0,950.0,OTRO,1,1,CORROSION,0,208823.0,100.0,0
2012,31728,2.375,42.0,1000.0,830.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,233420.0,0.0,0
2012,602,18.0,64.0,350.0,278.0,ASFALTO,1,0,DANO POR EXCAVACION,0,55741.0,10300.0,0
2012,15518,12.75,30.0,735.0,620.0,OTRO,3,0,FALLA DE MATERIAL O SOLDADURA,0,284309.0,441.0,0
2012,32005,36.0,33.0,1001.0,770.0,OTRO,1,0,OTRA FUERZA EXTERNA,0,29350038.0,0.0,0
2012,12696,10.0,63.0,360.0,330.0,SIN RECUBRIMIENTO,1,0,OTRA FUERZA EXTERNA,0,102238.0,12350.0,0
2012,19235,20.0,37.0,1440.0,858.0,OTRO,1,1,CORROSION,0,751958.0,400.0,0
2012,19570,16.0,49.0,840.0,820.0,OTRO,1,0,CORROSION,0,368135.0,3971.0,0
2012,19235,16.0,42.0,1440.0,938.0,OTRO,1,1,CORROSION,0,519296.0,1335.0,0
2012,19235,20.0,37.0,1440.0,878.0,OTRO,1,1,CORROSION,0,768715.0,14750.0,0
2012,31978,6.0,14.0,500.0,355.0,OTRO,3,0,DANO POR EXCAVACION,1,737439.0,1500.0,0
2012,32296,16.0,55.0,1002.0,952.0,ALQUITRAN,1,0,CORROSION,0,24850.0,7814.0,0
2012,32296,16.0,55.0,1002.0,1040.0,ALQUITRAN,1,0,CORROSION,1,39986.0,6518.0,0
2012,5304,20.0,53.0,975.0,862.0,ALQUITRAN,1,0,CORROSION,0,104546.0,750.0,1
2012,19235,16.0,42.0,1440.0,931.0,OTRO,1,1,CORROSION,0,312956.0,2074.0,0
2012,31531,6.625,84.0,307.0,132.0,ALQUITRAN,2,0,FALLA DE MATERIAL O SOLDADURA,0,24404.0,3649.0,0
2012,602,3.5,58.0,680.0,545.0,ALQUITRAN,3,0,DANO POR EXCAVACION,0,94266.0,3300.0,0
2012,18152,12.75,42.0,984.0,925.0,OTRO,1,1,CORROSION,0,564787.0,3286.0,0
2012,19235,20.0,37.0,1440.0,858.0,OTRO,1,1,CORROSION,0,1379297.0,400.0,0
2012,15007,8.625,65.0,408.0,318.0,ASFALTO,1,0,DANO POR EXCAVACION,0,114062.0,51000.0,0
2012,15931,8.625,43.0,790.0,752.0,CINTA FRIA,1,0,CORROSION,0,72254.0,3989.0,1
2012,288,6.625,59.0,750.0,575.0,OTRO,3,0,FALLA DE MATERIAL O SOLDADURA,0,61378.0,200.0,0
2012,31968,16.0,59.0,610.0,480.0,ALQUITRAN,1,0,CORROSION,1,522032.0,5212.0,1
2012,15007,12.75,47.0,400.0,370.0,ASFALTO,1,0,DANO POR EXCAVACION,0,421539.0,7010.0,0
2012,15007,6.0,27.0,720.0,412.0,CINTA FRIA,3,0,DANO POR EXCAVACION,0,632339.0,4700.0,0
2012,2616,20.0,45.0,1000.0,929.0,OTRO,2,0,CORROSION,1,4997966.0,76000.0,1
2012,5304,18.0,53.0,866.0,840.0,CINTA FRIA,3,0,OTRA FUERZA EXTERNA,0,681466.0,6004.0,0
2012,5304,20.0,53.0,936.0,927.0,CINTA FRIA,1,0,FALLA DE MATERIAL O SOLDADURA,0,912309.0,293976.0,0
2013,15931,24.0,44.0,350.0,340.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,219114.0,676.0,0
2013,22655,4.0,51.0,752.0,373.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,222917.0,751.0,0
2013,22655,2.0,83.0,832.0,696.0,SIN RECUBRIMIENTO,1,0,DANO POR EXCAVACION,0,50202.0,4187.0,0
2013,2620,36.0,34.0,1.0,1.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,1409413.0,9.87,0
2013,602,12.75,64.0,500.0,370.0,ALQUITRAN,1,0,CORROSION,0,66621.0,6429.0,1
2013,15518,12.75,54.0,704.0,631.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,661362.0,25895.0,0
2013,3,20.0,47.0,970.0,790.0,ALQUITRAN,1,0,CORROSION,0,2480728.0,39.0,0
2013,18532,10.75,48.0,604.0,337.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,157305.0,188.0,0
