campo,fecha,dias,oil_bpd,agua_bpd,gas_ksm3d
ALBUSKJELL,1987-08-01,31,1046.9,0.0,631.94
ALBUSKJELL,1987-09-01,30,3685.8,0.0,1976.33
ALBUSKJELL,1987-10-01,31,4208.1,0.0,2174.19
ALBUSKJELL,1987-11-01,30,3555.8,0.0,2007.0
ALBUSKJELL,1987-12-01,31,3514.2,0.0,2181.29
ALBUSKJELL,1988-01-01,31,3366.1,0.0,2018.71
ALBUSKJELL,1988-02-01,29,3216.5,0.0,2001.72
ALBUSKJELL,1988-03-01,31,3437.1,0.0,1849.03
ALBUSKJELL,1988-04-01,30,3256.0,0.0,1872.0
ALBUSKJELL,1988-05-01,31,3228.1,0.0,1843.55
ALBUSKJELL,1988-06-01,30,3027.5,0.0,1839.0
ALBUSKJELL,1988-07-01,31,3112.4,0.0,1635.48
ALBUSKJELL,1988-08-01,31,3201.7,0.0,1746.45
ALBUSKJELL,1988-09-01,30,3105.1,0.0,1651.33
ALBUSKJELL,1988-10-01,31,2806.1,0.0,1355.48
ALBUSKJELL,1988-11-01,30,2302.1,0.0,1156.0
ALBUSKJELL,1988-12-01,31,2148.7,0.0,1145.16
ALBUSKJELL,1989-01-01,31,1923.5,0.0,1138.39
ALBUSKJELL,1989-02-01,28,1900.4,0.0,1055.71
ALBUSKJELL,1989-03-01,31,1787.5,0.0,1013.23
ALBUSKJELL,1989-04-01,30,2532.7,0.0,1154.33
ALBUSKJELL,1989-05-01,31,2935.9,0.0,1402.9
ALBUSKJELL,1989-06-01,30,2901.7,0.0,1361.0
ALBUSKJELL,1989-07-01,31,2716.8,0.0,1336.77
ALBUSKJELL,1989-08-01,31,2692.4,0.0,1330.32
ALBUSKJELL,1989-09-01,30,2564.1,0.0,1344.67
ALBUSKJELL,1989-10-01,31,2442.9,0.0,1317.74
ALBUSKJELL,1989-11-01,30,2482.4,0.0,1244.33
ALBUSKJELL,1989-12-01,31,2351.6,0.0,1280.97
ALBUSKJELL,1990-01-01,31,2467.2,0.0,1246.13
ALBUSKJELL,1990-02-01,28,2266.6,0.0,1231.07
ALBUSKJELL,1990-03-01,31,2146.6,0.0,1031.61
ALBUSKJELL,1990-04-01,30,2260.1,0.0,1138.0
ALBUSKJELL,1990-05-01,31,1753.0,0.0,865.81
ALBUSKJELL,1990-06-01,30,1551.5,0.0,709.33
ALBUSKJELL,1990-07-01,31,1604.9,0.0,756.13
ALBUSKJELL,1990-08-01,31,1726.7,0.0,797.42
ALBUSKJELL,1990-09-01,30,1639.5,0.0,750.67
ALBUSKJELL,1990-10-01,31,1645.5,0.0,862.58
ALBUSKJELL,1990-11-01,30,1754.9,0.0,884.67
ALBUSKJELL,1990-12-01,31,1740.9,0.0,879.68
ALBUSKJELL,1991-01-01,31,1692.2,0.0,855.16
ALBUSKJELL,1991-02-01,28,1635.3,0.0,825.36
ALBUSKJELL,1991-03-01,31,1602.9,0.0,839.35
ALBUSKJELL,1991-04-01,30,1595.5,0.0,830.67
ALBUSKJELL,1991-05-01,31,1623.2,0.0,781.94
ALBUSKJELL,1991-06-01,30,1725.5,0.0,782.0
ALBUSKJELL,1991-07-01,31,1578.5,0.0,735.16
ALBUSKJELL,1991-08-01,31,783.2,0.0,154.19
ALBUSKJELL,1991-09-01,30,1679.4,0.0,859.67
ALBUSKJELL,1991-10-01,31,1720.6,0.0,806.77
ALBUSKJELL,1991-11-01,30,1551.5,0.0,734.33
ALBUSKJELL,1991-12-01,31,1615.1,0.0,726.77
ALBUSKJELL,1992-01-01,31,1548.1,0.0,747.42
ALBUSKJELL,1992-02-01,29,1461.8,0.0,741.72
ALBUSKJELL,1992-03-01,31,1223.5,0.0,572.26
ALBUSKJELL,1992-04-01,30,1733.9,0.0,820.33
ALBUSKJELL,1992-05-01,31,1113.9,0.0,635.48
ALBUSKJELL,1992-06-01,30,1536.8,0.0,668.67
ALBUSKJELL,1992-07-01,31,1548.1,0.0,725.81
ALBUSKJELL,1992-08-01,31,1568.4,0.0,703.55
ALBUSKJELL,1992-09-01,30,1455.0,0.0,705.0
ALBUSKJELL,1992-10-01,31,1464.9,0.0,717.1
ALBUSKJELL,1992-11-01,30,1436.2,0.0,694.33
ALBUSKJELL,1992-12-01,31,1813.9,0.0,992.9
ALBUSKJELL,1993-01-01,31,1690.1,0.0,932.26
ALBUSKJELL,1993-02-01,28,1763.4,0.0,887.5
ALBUSKJELL,1993-03-01,31,1678.0,0.0,829.35
ALBUSKJELL,1993-04-01,30,1742.3,0.0,910.67
ALBUSKJELL,1993-05-01,31,1700.3,0.0,854.19
ALBUSKJELL,1993-06-01,30,1666.8,0.0,845.33
ALBUSKJELL,1993-07-01,31,1647.5,0.0,841.94
ALBUSKJELL,1993-08-01,31,1661.7,0.0,848.71
ALBUSKJELL,1993-09-01,30,1675.2,0.0,800.33
ALBUSKJELL,1993-10-01,31,1533.9,0.0,807.74
ALBUSKJELL,1993-11-01,30,1557.8,0.0,800.33
ALBUSKJELL,1993-12-01,31,1564.3,0.0,794.19
ALBUSKJELL,1994-01-01,31,1503.5,0.0,781.61
ALBUSKJELL,1994-02-01,28,1523.0,0.0,783.21
ALBUSKJELL,1994-03-01,31,1444.6,0.0,764.19
ALBUSKJELL,1994-04-01,30,1482.3,0.0,754.0
ALBUSKJELL,1994-05-01,31,1428.4,0.0,763.55
ALBUSKJELL,1994-06-01,30,1413.1,0.0,705.33
ALBUSKJELL,1994-07-01,31,1393.9,0.0,697.74
ALBUSKJELL,1994-08-01,31,1099.7,0.0,514.19
ALBUSKJELL,1994-09-01,30,1343.9,0.0,755.0
ALBUSKJELL,1994-10-01,31,1308.7,0.0,744.52
ALBUSKJELL,1994-11-01,30,1494.9,0.0,714.67
ALBUSKJELL,1994-12-01,31,1335.1,0.0,703.23
ALBUSKJELL,1995-01-01,31,1329.0,0.0,660.97
ALBUSKJELL,1995-02-01,28,1341.1,0.0,681.43
ALBUSKJELL,1995-03-01,31,1316.8,0.0,673.87
ALBUSKJELL,1995-04-01,30,1306.2,0.0,663.67
ALBUSKJELL,1995-05-01,31,1278.2,0.0,635.48
ALBUSKJELL,1995-06-01,30,1249.6,0.0,586.0
ALBUSKJELL,1995-07-01,31,1221.4,0.0,596.45
ALBUSKJELL,1995-08-01,31,1345.2,0.0,685.16
ALBUSKJELL,1995-09-01,30,1276.8,0.0,646.33
ALBUSKJELL,1995-10-01,31,1339.1,0.0,651.94
ALBUSKJELL,1995-11-01,30,1251.7,0.0,647.33
ALBUSKJELL,1995-12-01,31,1030.7,0.0,638.39
ALBUSKJELL,1996-01-01,31,955.6,0.0,617.74
ALBUSKJELL,1996-02-01,29,999.9,0.0,591.03
ALBUSKJELL,1996-03-01,31,947.5,0.0,638.71
ALBUSKJELL,1996-04-01,30,912.0,0.0,645.67
ALBUSKJELL,1996-05-01,31,878.5,0.0,640.65
ALBUSKJELL,1996-06-01,30,826.1,0.0,567.0
ALBUSKJELL,1996-07-01,31,988.1,0.0,591.61
ALBUSKJELL,1996-08-01,31,961.7,0.0,609.03
ALBUSKJELL,1996-09-01,30,1046.2,0.0,597.0
ALBUSKJELL,1996-10-01,31,955.6,0.0,576.13
ALBUSKJELL,1996-11-01,30,897.3,0.0,519.33
ALBUSKJELL,1996-12-01,31,844.1,0.0,538.06
ALBUSKJELL,1997-01-01,31,677.7,0.0,380.65
ALBUSKJELL,1997-02-01,28,822.2,0.0,489.29
ALBUSKJELL,1997-03-01,31,840.0,0.0,552.58
ALBUSKJELL,1997-04-01,30,824.0,0.0,519.67
ALBUSKJELL,1997-05-01,31,744.6,0.0,512.58
ALBUSKJELL,1997-06-01,30,702.4,0.0,532.67
ALBUSKJELL,1997-07-01,31,726.4,0.0,500.0
ALBUSKJELL,1997-08-01,31,852.2,0.0,606.13
ALBUSKJELL,1997-09-01,30,1069.3,0.0,559.33
ALBUSKJELL,1997-10-01,31,732.5,0.0,570.97
ALBUSKJELL,1997-11-01,30,742.2,0.0,539.33
ALBUSKJELL,1997-12-01,31,817.7,0.0,537.74
ALBUSKJELL,1998-01-01,31,807.5,0.0,532.26
ALBUSKJELL,1998-02-01,28,882.8,0.0,520.36
ALBUSKJELL,1998-03-01,31,904.9,0.0,499.35
ALBUSKJELL,1998-04-01,30,899.4,0.0,472.0
ALBUSKJELL,1998-05-01,31,898.8,0.0,463.55
ALBUSKJELL,1998-06-01,30,895.2,0.0,495.67
ALBUSKJELL,1998-07-01,31,850.1,0.0,506.13
ALVE,2009-01-01,31,0.0,0.0,0.0
ALVE,2009-02-01,28,0.0,0.0,0.0
ALVE,2009-03-01,31,2132.4,36.5,1154.84
ALVE,2009-04-01,30,6285.6,121.6,3424.33
ALVE,2009-05-01,31,6192.4,93.3,3402.26
ALVE,2009-06-01,30,6424.0,192.9,3542.67
ALVE,2009-07-01,31,6003.7,34.5,3328.71
ALVE,2009-08-01,31,5841.4,18.3,3272.9
ALVE,2009-09-01,30,4910.2,6.3,2715.33
ALVE,2009-10-01,31,4859.4,12.2,2694.52
ALVE,2009-11-01,30,5633.6,0.0,3150.33
ALVE,2009-12-01,31,4968.9,2.0,2771.29
ALVE,2010-01-01,31,5007.5,4.1,2825.81
ALVE,2010-02-01,28,5202.6,2.2,2786.07
ALVE,2010-03-01,31,4924.3,0.0,2677.1
ALVE,2010-04-01,30,3618.7,2.1,1940.0
ALVE,2010-05-01,31,4883.7,0.0,2646.45
ALVE,2010-06-01,30,4673.3,0.0,2519.0
ALVE,2010-07-01,31,4287.2,2.0,2325.81
ALVE,2010-08-01,31,2631.6,0.0,1451.61
ALVE,2010-09-01,30,2840.9,4.2,1490.0
ALVE,2010-10-01,31,4626.0,0.0,2417.74
ALVE,2010-11-01,30,3979.3,2.1,2317.67
ALVE,2010-12-01,31,3767.8,4.1,2201.94
ALVE,2011-01-01,31,3548.7,6.1,2089.35
ALVE,2011-02-01,28,2965.2,182.0,1742.14
ALVE,2011-03-01,31,2842.6,166.4,1686.77
ALVE,2011-04-01,30,4262.4,35.6,1700.33
ALVE,2011-05-01,31,9035.0,0.0,2363.23
ALVE,2011-06-01,30,7791.0,0.0,2491.67
ALVE,2011-07-01,31,6543.4,0.0,2057.1
ALVE,2011-08-01,31,6722.0,0.0,2358.71
ALVE,2011-09-01,30,4073.7,0.0,1456.67
ALVE,2011-10-01,31,5991.5,0.0,2202.58
ALVE,2011-11-01,30,6241.6,0.0,2296.0
