PROF,GR,DEN,NEU,RDEP,AC
3593.49,60.31,2.2454,35.2,1.225,113.75
3593.64,63.52,2.3056,50.69,1.084,115.65
3593.79,64.68,2.3166,50.88,1.095,116.34
3593.95,64.87,2.295,50.63,1.026,116.45
3594.1,72.03,2.2975,52.84,0.966,120.7
3594.25,66.1,2.3515,56.73,0.962,117.18
3594.4,55.89,2.4137,43.34,0.966,111.13
3594.56,54.12,2.4464,44.93,1.021,110.08
3594.71,49.35,2.4481,33.27,1.09,107.26
3594.86,48.83,2.4276,31.57,1.025,106.95
3595.01,59.94,2.414,52.49,1.065,113.53
3595.16,53.16,2.409,35.9,1.163,109.51
3595.32,47.39,2.4152,44.83,1.084,106.09
3595.47,52.23,2.4051,47.78,1.07,108.96
3595.62,57.33,2.3656,49.64,0.931,111.98
3595.77,55.74,2.3276,53.77,0.97,111.04
3595.93,61.49,2.3263,68.05,0.97,114.45
3596.08,64.06,2.3459,67.68,0.971,115.97
3596.23,60.6,2.3594,50.11,0.966,113.92
3596.38,62.85,2.3451,53.21,0.908,115.26
3596.54,64.92,2.3209,61.7,0.787,116.49
3596.69,56.81,2.3235,64.37,0.791,111.67
3596.84,55.01,2.3169,86.3,0.803,110.61
3596.99,55.41,2.2933,68.25,0.831,110.85
3597.15,56.69,2.2528,71.8,0.839,111.61
3597.3,61.6,2.1595,74.73,0.889,114.52
3597.45,57.79,2.1434,77.93,0.993,112.26
3597.6,50.8,2.2297,45.01,1.158,108.12
3597.76,45.03,2.2875,57.16,1.234,104.69
3597.91,44.09,2.2634,51.28,1.272,104.14
3598.06,46.73,2.2351,31.44,1.295,105.7
3598.21,44.65,2.278,28.49,1.331,104.47
3598.37,51.91,2.3111,36.17,1.44,108.77
3598.52,48.62,2.3196,44.85,1.552,106.82
3598.67,48.12,2.3153,60.4,1.597,106.53
3598.82,44.79,2.3174,94.56,1.559,104.55
3598.97,44.91,2.3379,53.68,1.539,104.62
3599.13,44.52,2.3615,47.67,1.466,104.39
3599.28,40.42,2.3503,82.48,1.359,101.96
3599.43,41.98,2.3269,68.47,1.287,102.89
3599.58,43.05,2.3269,95.66,1.228,103.52
3599.74,42.1,2.343,81.16,1.16,102.96
3599.89,50.61,2.3186,61.45,1.085,108.0
3600.04,44.78,2.2911,56.81,0.958,104.54
3600.19,46.75,2.3245,70.99,0.951,105.71
3600.35,51.14,2.3698,58.8,0.948,108.32
3600.5,54.86,2.3365,60.95,0.943,110.52
3600.65,67.6,2.2785,44.64,0.967,118.07
3600.8,61.81,2.2993,45.75,0.966,114.64
3600.96,53.29,2.3291,27.64,0.997,109.59
3601.11,56.7,2.3447,41.76,1.052,111.61
3601.26,55.42,2.3007,31.33,1.153,110.85
3601.41,48.22,2.1519,22.49,1.249,106.58
3601.57,52.7,2.0629,19.47,1.239,109.24
3601.72,59.49,2.1426,21.08,1.344,113.26
3601.87,63.25,2.2255,46.44,1.371,115.49
3602.02,63.72,2.2527,61.21,1.264,115.77
3602.18,71.34,2.2764,51.94,1.281,120.28
3602.33,73.17,2.3382,91.66,1.265,121.37
3602.48,75.71,2.4188,42.26,1.21,122.88
3602.63,72.88,2.4745,45.27,1.193,121.2
3602.78,68.2,2.4896,60.31,1.194,118.43
3602.94,76.36,2.4868,48.79,1.189,123.26
3603.09,73.41,2.4708,96.77,1.162,121.52
3603.24,75.25,2.4373,65.12,1.175,122.6
3603.39,74.62,2.3874,66.99,1.213,122.23
3603.55,74.23,2.3503,53.6,1.257,122.0
3603.7,68.83,2.3451,52.1,1.264,118.8
3603.85,63.51,2.3456,47.24,1.252,115.64
3604.0,66.7,2.3512,51.33,1.264,117.54
3604.16,75.67,2.3926,63.03,1.298,122.85
3604.31,71.6,2.4499,37.33,1.338,120.44
3604.46,77.49,2.4635,38.19,1.36,123.93
3604.61,78.46,2.4446,44.74,1.325,124.51
3604.77,78.8,2.4343,36.31,1.292,124.71
3604.92,77.04,2.4395,54.39,1.292,123.66
3605.07,81.56,2.451,54.07,1.275,126.34
3605.22,81.36,2.4666,50.54,1.286,126.22
3605.38,92.76,2.4699,57.41,1.303,132.98
3605.53,81.69,2.4627,55.07,1.299,126.42
3605.68,75.52,2.449,40.06,1.288,122.76
3605.83,74.6,2.4444,59.28,1.277,122.22
3605.99,80.85,2.4541,47.53,1.273,125.93
3606.14,77.47,2.4593,49.97,1.276,123.92
3606.29,85.27,2.4468,66.07,1.256,128.54
3606.44,77.12,2.4363,64.79,1.239,123.71
3606.59,74.64,2.4322,56.39,1.223,122.25
3606.75,82.66,2.4213,53.13,1.225,127.0
3606.9,86.38,2.4075,49.95,1.195,129.2
3607.05,75.52,2.4106,61.14,1.174,122.77
3607.2,79.52,2.41,55.18,1.178,125.14
3607.36,77.5,2.4091,52.0,1.186,123.94
3607.51,85.72,2.4125,51.07,1.164,128.81
3607.66,76.96,2.4096,47.19,1.16,123.62
3607.81,78.7,2.3866,35.55,1.166,124.65
3607.97,73.27,2.3415,39.56,1.17,121.43
3608.12,70.33,2.288,58.89,1.087,119.69
3608.27,68.08,2.2408,78.35,1.044,118.35
3608.42,59.78,2.138,75.58,1.07,113.44
3608.58,59.61,2.0504,81.5,1.092,113.34
3608.73,60.89,2.0241,51.46,1.107,114.1
3608.88,52.44,2.0205,74.97,1.108,109.08
3609.19,48.37,2.0416,55.38,1.186,106.68
3609.34,50.72,2.1053,67.92,1.21,108.06
3609.49,49.1,2.1804,98.93,1.202,107.11
3609.64,54.64,2.2663,83.98,1.169,110.39
3609.8,57.29,2.3539,88.41,1.156,111.96
3609.95,58.23,2.3833,60.48,1.142,112.52
3610.1,57.49,2.3754,44.8,1.136,112.08
3610.25,68.5,2.3809,52.45,1.138,118.61
3610.4,66.03,2.3943,56.38,1.126,117.14
3610.56,74.71,2.4209,61.81,1.12,122.29
3610.71,77.96,2.4354,37.44,1.118,124.21
3610.86,71.94,2.4322,57.13,1.078,120.64
3611.01,73.08,2.4235,79.78,1.078,121.32
3611.17,72.65,2.4254,46.87,1.092,121.06
3611.32,71.13,2.417,49.59,1.103,120.16
3611.47,69.96,2.3812,36.15,1.101,119.47
3611.62,82.29,2.3597,49.23,1.107,126.78
3611.78,68.08,2.3788,51.06,1.144,118.36
3611.93,76.49,2.3963,54.83,1.176,123.34
3612.08,72.21,2.4132,44.57,1.185,120.8
3612.23,77.93,2.4184,38.88,1.176,124.2
3612.39,75.94,2.4213,51.11,1.176,123.02
3612.54,78.12,2.4164,47.18,1.13,124.31
3612.69,67.24,2.4196,46.27,1.061,117.86
3612.84,70.38,2.4261,65.79,1.046,119.72
3613.0,66.64,2.4153,54.87,1.055,117.5
3613.15,66.29,2.3603,61.69,1.084,117.29
3613.3,64.05,2.2568,36.15,1.054,115.97
3613.45,56.43,2.1758,43.19,1.145,111.45
3613.61,60.29,2.1927,76.68,1.123,113.74
3613.76,55.79,2.2586,77.4,1.139,111.07
3613.91,53.21,2.2346,55.06,1.129,109.54
3614.06,52.69,2.1562,75.41,1.119,109.23
3614.21,44.66,2.139,64.45,1.124,104.48
3614.37,48.82,2.1312,86.88,1.141,106.94
3614.52,47.73,2.112,55.73,1.155,106.3
3614.67,48.26,2.1027,59.74,1.156,106.61
3614.82,51.04,2.0911,75.8,1.169,108.26
3614.98,47.94,2.0942,71.57,1.187,106.42
3615.13,59.97,2.143,65.23,1.162,102.8
3615.28,52.18,2.2551,63.82,1.062,101.2
3615.43,54.88,2.3429,44.57,0.894,95.8
3615.59,53.52,2.3528,62.11,0.737,94.23
3615.74,48.98,2.317,71.91,0.642,101.33
3615.89,36.68,2.2585,44.9,0.657,99.57
3616.04,40.46,2.2108,49.57,0.744,100.6
3616.2,34.59,2.2043,33.75,0.746,101.36
3616.35,30.22,2.2558,25.1,0.758,101.77
3616.5,32.74,2.3477,15.94,0.93,93.59
3616.65,30.31,2.4238,14.3,1.188,86.79
3616.81,32.6,2.4514,12.77,1.252,113.57
3616.96,29.19,2.4613,14.53,1.194,114.89
3617.11,27.54,2.4681,13.99,1.164,111.0
3617.26,32.05,2.4664,17.02,1.177,118.49
3617.42,30.03,2.4565,22.04,1.188,117.72
3617.57,32.02,2.4434,27.61,1.18,71.32
3617.72,33.42,2.419,28.01,1.146,72.06
3617.87,28.67,2.3954,34.01,1.045,79.63
3618.02,29.38,2.3691,33.33,0.969,87.13
3618.18,34.04,2.3254,26.47,0.916,93.27
3618.33,34.04,2.2694,37.7,0.883,84.5
3618.48,39.48,2.2434,30.5,0.805,85.34
3618.63,40.68,2.2239,54.46,0.749,90.76
3618.79,35.61,2.1321,95.41,0.748,95.08
3618.94,41.52,2.0919,86.72,0.748,114.71
3619.09,46.05,2.2382,97.59,0.751,149.22
3619.24,40.8,2.3535,90.02,0.734,149.22
3619.4,45.8,2.3766,61.93,0.732,145.2
3619.55,54.17,2.3795,62.02,0.756,141.73
3619.7,55.06,2.3793,67.06,0.766,137.59
3619.85,61.83,2.3736,80.51,0.757,129.08
3620.01,59.6,2.3329,97.17,0.773,117.45
3620.31,57.71,2.1872,63.43,0.803,110.57
3620.46,51.92,2.2344,60.18,0.831,110.46
3620.62,49.06,2.3124,88.34,0.852,112.24
3620.77,49.4,2.3756,90.13,0.857,117.89
3620.92,49.48,2.359,82.53,0.859,102.63
3621.07,47.04,2.2906,66.2,0.853,101.65
3621.23,46.63,2.2293,88.8,0.85,105.96
3621.38,46.1,2.2031,52.53,0.842,114.82
3621.53,41.26,2.1838,98.6,0.845,125.3
3621.83,44.53,2.1483,69.64,0.913,133.09
3621.99,43.58,2.1475,60.42,0.904,130.18
3622.14,36.61,2.1735,81.54,0.884,105.67
3622.29,41.11,2.1934,73.45,0.875,110.77
3622.44,34.63,2.184,67.9,0.863,108.48
3622.6,40.55,2.159,65.64,0.822,100.12
3622.75,41.83,2.1406,45.46,0.758,102.74
3622.9,34.55,2.1465,33.62,0.727,102.83
3623.05,32.97,2.1506,34.1,0.711,102.6
3623.21,33.38,2.1528,26.57,0.645,102.61
3623.36,31.37,2.1615,27.81,0.583,102.65
3623.51,29.0,2.1604,28.35,0.544,102.73
3623.66,30.58,2.1618,25.46,0.532,102.95
3623.82,25.87,2.1673,26.64,0.516,103.79
3623.97,28.67,2.1647,24.4,0.508,103.0
3624.12,26.34,2.1638,25.3,0.503,100.7
3624.27,29.35,2.1639,24.59,0.508,100.39
3624.43,25.86,2.1681,21.15,0.509,100.32
3624.58,26.87,2.1737,26.95,0.514,100.35
3624.73,25.21,2.1712,24.97,0.516,101.04
3624.88,30.32,2.1648,26.13,0.48,100.7
3625.04,27.33,2.1693,27.3,0.46,100.69
3625.19,25.99,2.1766,27.96,0.455,100.6
3625.34,24.99,2.1838,25.0,0.455,98.89
3625.49,33.0,2.1942,28.59,0.455,97.19
3625.64,28.07,2.1951,25.23,0.452,96.73
3625.8,27.71,2.1887,22.62,0.448,96.7
3625.95,26.87,2.1813,24.09,0.443,96.24
3626.1,23.47,2.1759,21.54,0.444,96.4
3626.25,24.53,2.1797,30.04,0.441,96.39
3626.41,28.9,2.1852,28.4,0.438,96.58
3626.56,30.46,2.1884,24.84,0.436,97.11
3626.71,27.94,2.1947,26.33,0.435,97.39
3626.86,29.65,2.2008,26.59,0.436,97.45
3627.02,27.25,2.2053,25.0,0.436,97.09
3627.17,25.72,2.2033,26.43,0.433,97.65
3627.32,25.98,2.2074,26.15,0.432,98.02
3627.47,30.6,2.2098,23.53,0.429,95.28
3627.63,31.57,2.2127,23.22,0.429,96.4
3627.78,30.25,2.2157,25.66,0.43,95.81
3627.93,26.87,2.2157,28.44,0.434,96.05
3628.08,27.59,2.2119,25.35,0.44,96.06
3628.24,31.69,2.2091,26.25,0.446,96.2
3628.39,30.46,2.2051,29.44,0.452,96.23
3628.54,27.82,2.2081,29.88,0.463,97.51
3628.69,29.81,2.2153,36.4,0.473,97.64
3628.85,35.05,2.2242,24.22,0.482,96.7
