fecha,pozo,horas,oil,gas,agua
2007-11-23,15/9-F-5,,,,
2007-11-24,15/9-F-4,,,,
2007-11-24,15/9-F-5,,,,
2007-11-25,15/9-F-4,,,,
2007-11-25,15/9-F-5,,,,
2007-11-26,15/9-F-4,,,,
2007-11-26,15/9-F-5,,,,
2007-11-27,15/9-F-4,,,,
2007-11-27,15/9-F-5,,,,
2007-11-28,15/9-F-4,,,,
2007-11-28,15/9-F-5,,,,
2007-11-29,15/9-F-4,,,,
2007-11-29,15/9-F-5,,,,
2007-11-30,15/9-F-4,,,,
2007-11-30,15/9-F-5,,,,
2007-12-01,15/9-F-4,,,,
2007-12-01,15/9-F-5,,,,
2007-12-02,15/9-F-4,,,,
2007-12-02,15/9-F-5,,,,
2007-12-03,15/9-F-4,,,,
2007-12-03,15/9-F-5,,,,
2007-12-04,15/9-F-4,,,,
2007-12-04,15/9-F-5,,,,
2007-12-05,15/9-F-4,,,,
2007-12-05,15/9-F-5,,,,
2007-12-06,15/9-F-4,,,,
2007-12-06,15/9-F-5,,,,
2007-12-07,15/9-F-4,,,,
2007-12-07,15/9-F-5,,,,
2007-12-08,15/9-F-4,,,,
2007-12-08,15/9-F-5,,,,
2007-12-09,15/9-F-4,,,,
2007-12-09,15/9-F-5,,,,
2007-12-10,15/9-F-4,,,,
2007-12-10,15/9-F-5,,,,
2007-12-11,15/9-F-4,,,,
2007-12-11,15/9-F-5,,,,
2007-12-12,15/9-F-4,,,,
2007-12-12,15/9-F-5,,,,
2007-12-13,15/9-F-4,,,,
2007-12-13,15/9-F-5,,,,
2007-12-14,15/9-F-4,,,,
2007-12-14,15/9-F-5,,,,
2007-12-15,15/9-F-4,,,,
2007-12-15,15/9-F-5,,,,
2007-12-16,15/9-F-4,,,,
2007-12-16,15/9-F-5,,,,
2007-12-17,15/9-F-4,,,,
2007-12-17,15/9-F-5,,,,
2007-12-18,15/9-F-4,,,,
2007-12-18,15/9-F-5,,,,
2007-12-19,15/9-F-4,,,,
2007-12-19,15/9-F-5,,,,
2007-12-20,15/9-F-4,,,,
2007-12-20,15/9-F-5,,,,
2007-12-21,15/9-F-4,,,,
2007-12-21,15/9-F-5,,,,
2007-12-22,15/9-F-4,,,,
2007-12-22,15/9-F-5,,,,
2007-12-23,15/9-F-4,,,,
2007-12-23,15/9-F-5,,,,
2007-12-24,15/9-F-4,,,,
2007-12-24,15/9-F-5,,,,
2007-12-25,15/9-F-4,,,,
2007-12-25,15/9-F-5,,,,
2007-12-26,15/9-F-4,,,,
2007-12-26,15/9-F-5,,,,
2007-12-27,15/9-F-4,,,,
2007-12-27,15/9-F-5,,,,
2007-12-28,15/9-F-4,,,,
2007-12-28,15/9-F-5,,,,
2007-12-29,15/9-F-4,,,,
2007-12-29,15/9-F-5,,,,
2007-12-30,15/9-F-4,,,,
2007-12-30,15/9-F-5,,,,
2007-12-31,15/9-F-4,,,,
2007-12-31,15/9-F-5,,,,
2008-01-01,15/9-F-4,0.0,,,
2008-01-01,15/9-F-5,0.0,,,
2008-01-02,15/9-F-4,0.0,,,
2008-01-02,15/9-F-5,0.0,,,
2008-01-03,15/9-F-4,0.0,,,
2008-01-03,15/9-F-5,0.0,,,
2008-01-04,15/9-F-4,0.0,,,
2008-01-04,15/9-F-5,0.0,,,
2008-01-05,15/9-F-4,0.0,,,
2008-01-05,15/9-F-5,0.0,,,
2008-01-06,15/9-F-4,0.0,,,
2008-01-06,15/9-F-5,0.0,,,
2008-01-07,15/9-F-4,0.0,,,
2008-01-07,15/9-F-5,0.0,,,
2008-01-08,15/9-F-4,0.0,,,
2008-01-08,15/9-F-5,0.0,,,
2008-01-09,15/9-F-4,0.0,,,
2008-01-09,15/9-F-5,0.0,,,
2008-01-10,15/9-F-4,0.0,,,
2008-01-10,15/9-F-5,0.0,,,
2008-01-11,15/9-F-4,0.0,,,
2008-01-11,15/9-F-5,0.0,,,
2008-01-12,15/9-F-4,0.0,,,
2008-01-12,15/9-F-5,0.0,,,
2008-01-13,15/9-F-4,0.0,,,
2008-01-13,15/9-F-5,0.0,,,
2008-01-14,15/9-F-4,0.0,,,
2008-01-14,15/9-F-5,0.0,,,
2008-01-15,15/9-F-4,0.0,,,
2008-01-15,15/9-F-5,0.0,,,
2008-01-16,15/9-F-4,0.0,,,
2008-01-16,15/9-F-5,0.0,,,
2008-01-17,15/9-F-4,0.0,,,
2008-01-17,15/9-F-5,0.0,,,
2008-01-18,15/9-F-4,0.0,,,
2008-01-18,15/9-F-5,0.0,,,
2008-01-19,15/9-F-4,0.0,,,
2008-01-19,15/9-F-5,0.0,,,
2008-01-20,15/9-F-4,0.0,,,
2008-01-20,15/9-F-5,0.0,,,
2008-01-21,15/9-F-4,0.0,,,
2008-01-21,15/9-F-5,0.0,,,
2008-01-22,15/9-F-4,,,,
2008-01-22,15/9-F-5,,,,
2008-01-23,15/9-F-4,,,,
2008-01-23,15/9-F-5,,,,
2008-01-24,15/9-F-4,,,,
2008-01-24,15/9-F-5,,,,
2008-01-25,15/9-F-4,,,,
2008-01-25,15/9-F-5,,,,
2008-01-26,15/9-F-4,,,,
2008-01-26,15/9-F-5,,,,
2008-01-27,15/9-F-4,0.0,,,
2008-01-27,15/9-F-5,0.0,,,
2008-01-28,15/9-F-4,,,,
2008-01-28,15/9-F-5,,,,
2008-01-29,15/9-F-4,,,,
2008-01-29,15/9-F-5,,,,
2008-01-30,15/9-F-4,,,,
2008-01-30,15/9-F-5,,,,
2008-01-31,15/9-F-4,,,,
2008-01-31,15/9-F-5,,,,
2008-02-01,15/9-F-4,0.0,,,
2008-02-01,15/9-F-5,0.0,,,
2008-02-02,15/9-F-4,0.0,,,
2008-02-02,15/9-F-5,0.0,,,
2008-02-03,15/9-F-4,0.0,,,
2008-02-03,15/9-F-5,0.0,,,
2008-02-04,15/9-F-4,0.0,,,
2008-02-04,15/9-F-5,0.0,,,
2008-02-05,15/9-F-4,0.0,,,
2008-02-05,15/9-F-5,0.0,,,
2008-02-06,15/9-F-4,0.0,,,
2008-02-06,15/9-F-5,0.0,,,
2008-02-07,15/9-F-4,0.0,,,
2008-02-07,15/9-F-5,0.0,,,
2008-02-08,15/9-F-4,0.0,,,
2008-02-08,15/9-F-5,0.0,,,
2008-02-09,15/9-F-4,0.0,,,
2008-02-09,15/9-F-5,0.0,,,
2008-02-10,15/9-F-4,0.0,,,
2008-02-10,15/9-F-5,0.0,,,
2008-02-11,15/9-F-4,0.0,,,
2008-02-11,15/9-F-5,0.0,,,
2008-02-12,15/9-F-12,11.5,284.65,38888.67,385.01
2008-02-12,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-12,15/9-F-4,0.0,,,
2008-02-12,15/9-F-5,0.0,,,
2008-02-13,15/9-F-12,24.0,1869.7,285246.16,7.13
2008-02-13,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-13,15/9-F-4,0.0,,,
2008-02-13,15/9-F-5,0.0,,,
2008-02-14,15/9-F-12,22.5,3124.09,509954.88,1.16
2008-02-14,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-14,15/9-F-4,0.0,,,
2008-02-14,15/9-F-5,0.0,,,
2008-02-15,15/9-F-12,23.15,2608.28,383426.67,0.97
2008-02-15,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-15,15/9-F-4,0.0,,,
2008-02-15,15/9-F-5,0.0,,,
2008-02-16,15/9-F-12,24.0,3051.8,418474.0,4.89
2008-02-16,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-16,15/9-F-4,0.0,,,
2008-02-16,15/9-F-5,0.0,,,
2008-02-17,15/9-F-12,24.0,2982.63,422763.0,1.85
2008-02-17,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-17,15/9-F-4,0.0,,,
2008-02-17,15/9-F-5,0.0,,,
2008-02-18,15/9-F-12,23.0,2980.52,413831.0,6.48
2008-02-18,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-18,15/9-F-4,0.0,,,
2008-02-18,15/9-F-5,0.0,,,
2008-02-19,15/9-F-12,24.0,3046.19,429218.0,0.73
2008-02-19,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-19,15/9-F-4,0.0,,,
2008-02-19,15/9-F-5,0.0,,,
2008-02-20,15/9-F-12,24.0,3057.18,442982.75,0.46
2008-02-20,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-20,15/9-F-4,0.0,,,
2008-02-20,15/9-F-5,0.0,,,
2008-02-21,15/9-F-12,24.0,3030.33,423809.16,0.45
2008-02-21,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-21,15/9-F-4,,,,
2008-02-21,15/9-F-5,,,,
2008-02-22,15/9-F-12,23.66666,2907.56,397808.0,0.44
2008-02-22,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-22,15/9-F-4,0.0,,,
2008-02-22,15/9-F-5,0.0,,,
2008-02-23,15/9-F-12,15.14167,1851.72,252078.0,0.28
2008-02-23,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-23,15/9-F-4,0.0,,,
2008-02-23,15/9-F-5,0.0,,,
2008-02-24,15/9-F-12,24.0,3126.7,442808.0,0.47
2008-02-24,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-24,15/9-F-4,0.0,,,
2008-02-24,15/9-F-5,0.0,,,
2008-02-25,15/9-F-12,24.0,3045.54,439178.0,0.46
2008-02-25,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-25,15/9-F-4,0.0,,,
2008-02-25,15/9-F-5,0.0,,,
2008-02-26,15/9-F-12,24.0,3046.54,446905.0,0.46
2008-02-26,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-26,15/9-F-4,0.0,,,
2008-02-26,15/9-F-5,0.0,,,
2008-02-27,15/9-F-12,24.0,3035.54,445616.0,0.46
2008-02-27,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-27,15/9-F-4,0.0,,,
2008-02-27,15/9-F-5,0.0,,,
2008-02-28,15/9-F-12,23.66666,2971.55,424674.0,0.45
2008-02-28,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-28,15/9-F-4,0.0,,,
2008-02-28,15/9-F-5,0.0,,,
2008-02-29,15/9-F-12,24.0,3070.54,450348.0,0.46
2008-02-29,15/9-F-14,0.0,0.0,0.0,0.0
2008-02-29,15/9-F-4,0.0,,,
2008-02-29,15/9-F-5,0.0,,,
2008-03-01,15/9-F-12,24.0,3068.48,447584.12,0.46
2008-03-01,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-01,15/9-F-4,0.0,,,
2008-03-01,15/9-F-5,0.0,,,
2008-03-02,15/9-F-12,24.0,3066.54,446144.0,0.46
2008-03-02,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-02,15/9-F-4,0.0,,,
2008-03-02,15/9-F-5,0.0,,,
2008-03-03,15/9-F-12,24.0,3043.54,443726.0,0.46
2008-03-03,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-03,15/9-F-4,0.0,,,
2008-03-03,15/9-F-5,0.0,,,
2008-03-04,15/9-F-12,24.0,2983.19,430246.72,0.45
2008-03-04,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-04,15/9-F-4,0.0,,,
2008-03-04,15/9-F-5,0.0,,,
2008-03-05,15/9-F-12,24.0,2967.05,437688.2,0.45
2008-03-05,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-05,15/9-F-4,0.0,,,
2008-03-05,15/9-F-5,0.0,,,
2008-03-06,15/9-F-12,24.0,2950.88,432727.0,1.74
2008-03-06,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-06,15/9-F-4,0.0,,,
2008-03-06,15/9-F-5,0.0,,,
2008-03-07,15/9-F-12,22.83333,2656.62,391264.6,1.57
2008-03-07,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-07,15/9-F-4,0.0,,,
2008-03-07,15/9-F-5,0.0,,,
2008-03-08,15/9-F-12,23.0,2578.48,365769.0,1.52
2008-03-08,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-08,15/9-F-4,0.0,,,
2008-03-08,15/9-F-5,0.0,,,
2008-03-09,15/9-F-12,24.0,2996.83,427791.0,1.77
2008-03-09,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-09,15/9-F-4,0.0,,,
2008-03-09,15/9-F-5,0.0,,,
2008-03-10,15/9-F-12,24.0,3021.4,440679.0,0.6
2008-03-10,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-10,15/9-F-4,0.0,,,
2008-03-10,15/9-F-5,0.0,,,
2008-03-11,15/9-F-12,24.0,3010.4,450972.0,0.6
2008-03-11,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-11,15/9-F-4,0.0,,,
2008-03-11,15/9-F-5,0.0,,,
2008-03-12,15/9-F-12,23.775,2794.44,418887.0,0.56
2008-03-12,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-12,15/9-F-4,0.0,,,
2008-03-12,15/9-F-5,0.0,,,
2008-03-13,15/9-F-12,24.0,3058.89,458524.0,0.61
2008-03-13,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-13,15/9-F-4,0.0,,,
2008-03-13,15/9-F-5,0.0,,,
2008-03-14,15/9-F-12,23.83334,2964.81,428015.0,0.59
2008-03-14,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-14,15/9-F-4,0.0,,,
2008-03-14,15/9-F-5,0.0,,,
2008-03-15,15/9-F-12,24.0,3131.37,454137.0,0.63
2008-03-15,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-15,15/9-F-4,0.0,,,
2008-03-15,15/9-F-5,0.0,,,
2008-03-16,15/9-F-12,24.0,3135.37,454798.0,0.63
2008-03-16,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-16,15/9-F-4,0.0,,,
2008-03-16,15/9-F-5,0.0,,,
2008-03-17,15/9-F-12,24.0,3143.37,470240.0,0.63
2008-03-17,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-17,15/9-F-4,0.0,,,
2008-03-17,15/9-F-5,0.0,,,
2008-03-18,15/9-F-12,24.0,3132.37,425284.44,0.63
2008-03-18,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-18,15/9-F-4,0.0,,,
2008-03-18,15/9-F-5,0.0,,,
2008-03-19,15/9-F-12,24.0,3139.62,454093.33,0.63
2008-03-19,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-19,15/9-F-4,0.0,,,
2008-03-19,15/9-F-5,0.0,,,
2008-03-20,15/9-F-12,24.0,3156.67,467465.72,0.63
2008-03-20,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-20,15/9-F-4,0.0,,,
2008-03-20,15/9-F-5,0.0,,,
2008-03-21,15/9-F-12,24.0,3192.14,458447.4,0.64
2008-03-21,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-21,15/9-F-4,0.0,,,
2008-03-21,15/9-F-5,0.0,,,
2008-03-22,15/9-F-12,24.0,3172.12,458028.49,0.63
2008-03-22,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-22,15/9-F-4,0.0,,,
2008-03-22,15/9-F-5,0.0,,,
2008-03-23,15/9-F-12,24.0,3160.26,466335.26,0.63
2008-03-23,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-23,15/9-F-4,0.0,,,
2008-03-23,15/9-F-5,0.0,,,
2008-03-24,15/9-F-12,24.0,3153.35,468479.65,0.63
2008-03-24,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-24,15/9-F-4,0.0,,,
2008-03-24,15/9-F-5,0.0,,,
2008-03-25,15/9-F-12,24.0,3130.58,406562.1,0.63
2008-03-25,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-25,15/9-F-4,0.0,,,
2008-03-25,15/9-F-5,0.0,,,
2008-03-26,15/9-F-12,7.475,960.26,113341.21,1.64
2008-03-26,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-26,15/9-F-4,0.0,,,
2008-03-26,15/9-F-5,0.0,,,
2008-03-27,15/9-F-12,0.0,0.0,0.0,0.0
2008-03-27,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-27,15/9-F-4,0.0,,,
2008-03-27,15/9-F-5,0.0,,,
2008-03-28,15/9-F-12,1.19167,73.44,48936.44,0.13
2008-03-28,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-28,15/9-F-4,0.0,,,
2008-03-28,15/9-F-5,0.0,,,
2008-03-29,15/9-F-12,24.0,3137.26,509074.88,3.39
2008-03-29,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-29,15/9-F-4,0.0,,,
2008-03-29,15/9-F-5,0.0,,,
2008-03-30,15/9-F-12,10.975,1430.95,137396.4,1.55
2008-03-30,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-30,15/9-F-4,0.0,,,
2008-03-30,15/9-F-5,0.0,,,
2008-03-31,15/9-F-12,14.025,1950.58,378532.95,1.93
2008-03-31,15/9-F-14,0.0,0.0,0.0,0.0
2008-03-31,15/9-F-4,0.0,,,
2008-03-31,15/9-F-5,0.0,,,
2008-04-01,15/9-F-12,24.0,3060.6,457837.18,2.82
2008-04-01,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-01,15/9-F-4,0.0,,,
2008-04-01,15/9-F-5,0.0,,,
2008-04-02,15/9-F-12,24.0,3053.67,461808.99,2.81
2008-04-02,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-02,15/9-F-4,0.0,,,
2008-04-02,15/9-F-5,0.0,,,
2008-04-03,15/9-F-12,24.0,3103.12,372985.57,2.86
2008-04-03,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-03,15/9-F-4,0.0,,,
2008-04-03,15/9-F-5,0.0,,,
2008-04-04,15/9-F-12,24.0,3110.68,463717.13,2.86
2008-04-04,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-04,15/9-F-4,0.0,,,
2008-04-04,15/9-F-5,0.0,,,
2008-04-05,15/9-F-12,24.0,3303.3,463529.9,3.04
2008-04-05,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-05,15/9-F-4,0.0,,,
2008-04-05,15/9-F-5,0.0,,,
2008-04-06,15/9-F-12,24.0,3028.41,440906.09,153.36
2008-04-06,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-06,15/9-F-4,0.0,,,
2008-04-06,15/9-F-5,0.0,,,
2008-04-07,15/9-F-12,24.0,2998.8,452369.44,151.86
2008-04-07,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-07,15/9-F-4,0.0,,,
2008-04-07,15/9-F-5,0.0,,,
2008-04-08,15/9-F-12,24.0,3054.12,451030.48,4.34
2008-04-08,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-08,15/9-F-4,0.0,,,
2008-04-08,15/9-F-5,0.0,,,
2008-04-09,15/9-F-12,24.0,3025.8,463595.31,4.91
2008-04-09,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-09,15/9-F-4,0.0,,,
2008-04-09,15/9-F-5,0.0,,,
2008-04-10,15/9-F-12,24.0,3003.22,468712.0,4.09
2008-04-10,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-10,15/9-F-4,0.0,,,
2008-04-10,15/9-F-5,0.0,,,
2008-04-11,15/9-F-12,24.0,3015.97,458936.65,10.44
2008-04-11,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-11,15/9-F-4,0.0,,,
2008-04-11,15/9-F-5,0.0,,,
2008-04-12,15/9-F-12,12.975,1615.37,242280.01,2.91
2008-04-12,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-12,15/9-F-4,0.0,,,
2008-04-12,15/9-F-5,0.0,,,
2008-04-13,15/9-F-12,4.0,429.77,65731.44,1.73
2008-04-13,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-13,15/9-F-4,0.0,,,
2008-04-13,15/9-F-5,0.0,,,
2008-04-14,15/9-F-12,21.26,2578.63,413142.56,3.62
2008-04-14,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-14,15/9-F-4,0.0,,,
2008-04-14,15/9-F-5,0.0,,,
2008-04-15,15/9-F-12,20.55,2494.26,400308.2,3.5
2008-04-15,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-15,15/9-F-4,0.0,,,
2008-04-15,15/9-F-5,0.0,,,
2008-04-16,15/9-F-12,24.0,2847.56,462314.88,3.99
2008-04-16,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-16,15/9-F-4,0.0,,,
2008-04-16,15/9-F-5,0.0,,,
2008-04-17,15/9-F-12,9.375,1120.57,184080.6,1.1
2008-04-17,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-17,15/9-F-4,0.0,,,
2008-04-17,15/9-F-5,0.0,,,
2008-04-18,15/9-F-12,21.57,2448.14,372536.86,2.4
2008-04-18,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-18,15/9-F-4,0.0,,,
2008-04-18,15/9-F-5,0.0,,,
2008-04-19,15/9-F-12,22.71203,2513.65,383126.44,2.47
2008-04-19,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-19,15/9-F-4,0.0,,,
2008-04-19,15/9-F-5,0.0,,,
2008-04-20,15/9-F-12,24.0,2752.75,418498.59,2.7
2008-04-20,15/9-F-14,0.0,0.0,0.0,0.0
2008-04-20,15/9-F-4,0.0,,,
2008-04-20,15/9-F-5,0.0,,,
2008-04-21,15/9-F-12,24.0,2752.3,426345.05,2.7
2008-04-21,15/9-F-14,0.0,0.0,0.0,0.0
